a	'a
A	'A
AA	"A-'A
AAs	"A-'As
abaci	'ab-a-ci
aback	a-'back
abacus	'ab-a-cus
abacuses	'ab-a-cus-es
abaft	a-'baft
abandon	a-'ban-don
abandoned	a-'ban-doned
abandoning	a-'ban-don-ing
abandonment	a-'ban-don-ment
abandons	a-'ban-dons
abase	a-'base
abased	a-'based
abasement	a-'base-ment
abases	a-'bas-es
abash	a-'bash
abashed	a-'bashed
abashes	a-'bash-es
abashing	a-'bash-ing
abasing	a-'bas-ing
abate	a-'bate
abated	a-'bat-ed
abatement	a-'bate-ment
abates	a-'bates
abating	a-'bat-ing
abattoir	'ab-at-toir
abattoirs	'ab-at-toirs
abbe	'ab-b#e
abbes	'ab-b#es
abbess	'ab-bess
abbesses	'ab-bess-es
abbey	'ab-bey
abbeys	'ab-beys
abbot	'ab-bot
abbots	'ab-bots
abbreviate	ab-'bre-vi-ate
abbreviated	ab-'bre-vi-at-ed
abbreviates	ab-'bre-vi-ates
abbreviating	ab-'bre-vi-at-ing
abbreviation	ab-"bre-vi-'a-tion
abbreviations	ab-"bre-vi-'a-tions
ABC	"A-B-'C
ABCs	"A-B-'Cs
ABC's	"A-B-'C's
abdicate	'ab-di-cate
abdicated	'ab-di-cat-ed
abdicates	'ab-di-cates
abdicating	'ab-di-cat-ing
abdication	"ab-di-'ca-tion
abdications	"ab-di-'ca-tions
abdomen	'ab-do-men
abdomens	'ab-do-mens
abdominal	ab-'dom-i-nal
abduct	ab-'duct
abducted	ab-'duct-ed
abducting	ab-'duct-ing
abduction	ab-'duc-tion
abductions	ab-'duc-tions
abducts	ab-'ducts
abeam	a-'beam
abed	a-'bed
aberrant	ab-'er-rant
aberration	"ab-er-'ra-tion
aberrations	"ab-er-'ra-tions
abet	a-'bet
abets	a-'bets
abetted	a-'bet-ted
abetting	a-'bet-ting
abettor	a-'bet-tor
abettors	a-'bet-tors
abeyance	a-'bey-ance
abeyant	a-'bey-ant
abhor	ab-'hor
abhorred	ab-'horred
abhorrence	ab-'hor-rence
abhorrent	ab-'hor-rent
abhorring	ab-'hor-ring
abhors	ab-'hors
abidance by	a-'bid-ance-"by
abide	a-'bide
abide by	a-'bide-by
abided	a-'bid-ed
abided by	a-'bid-ed-by
abides	a-'bides
abides by	a-'bides-by
abiding	a-'bid-ing
abiding by	a-'bid-ing-by
abilities	a-'bil-i-ties
ability	a-'bil-i-ty
ab initio	"ab-in-'i-ti-o
abject	'ab-ject
abjection	ab-'jec-tion
abjections	ab-'jec-tions
abjectly	'ab-ject-ly
abjuration	"ab-ju-'ra-tion
abjurations	"ab-ju-'ra-tions
abjure	ab-'jure
abjured	ab-'jured
abjures	ab-'jures
abjuring	ab-'jur-ing
ablative	'ab-la-tive
ablatives	'ab-la-tives
ablaut	'ab-laut
ablauts	'ab-lauts
ablaze	a-'blaze
able	'a-ble
able-bodied	"a-ble-'bod-ied
able-bodied seaman	"a-ble-bod-ied-'sea-man
able-bodied seamen	"a-ble-bod-ied-'sea-men
abler	'a-bler
able seaman	"a-ble-'sea-man
able seamen	"a-ble-'sea-men
ablest	'a-blest
ablution	ab-'lu-tion
ablutions	ab-'lu-tions
ably	'a-bly
abnegate	'ab-ne-gate
abnegated	'ab-ne-gat-ed
abnegates	'ab-ne-gates
abnegating	'ab-ne-gat-ing
abnegation	"ab-ne-'ga-tion
abnormal	ab-'nor-mal
abnormalities	"ab-nor-'mal-i-ties
abnormality	"ab-nor-'mal-i-ty
abnormally	ab-'nor-mal-ly
abo	'ab-o
aboard	a-'board
abode	a-'bode
abode by	a-'bode-by
abodes	a-'bodes
abolish	a-'bol-ish
abolished	a-'bol-ished
abolishes	a-'bol-ish-es
abolishing	a-'bol-ish-ing
abolition	"ab-o-'li-tion
abolitionist	"ab-o-'li-tion-ist
abolitionists	"ab-o-'li-tion-ists
A-bomb	'A-bomb
A-bombs	'A-bombs
abominable	a-'bom-i-na-ble
abominable snowman	a-"bom-i-na-ble-'snow-man
abominable snowmen	a-"bom-i-na-ble-'snow-men
abominably	a-'bom-i-na-bly
abominate	a-'bom-i-nate
abominated	a-'bom-i-nat-ed
abominates	a-'bom-i-nates
abominating	a-'bom-i-nat-ing
abomination	a-"bom-i-'na-tion
abominations	a-"bom-i-'na-tions
aboriginal	"ab-o-'rig-i-nal
aboriginals	"ab-o-'rig-i-nals
aborigine	"ab-o-'rig-i-ne
Aborigine	"Ab-o-'rig-i-ne
aborigines	"ab-o-'rig-i-nes
Aborigines	"Ab-o-'rig-i-nes
abort	a-'bort
