1 1 1 1 1 1 1 1 1 1 0 1;PRON VERB PART ADV ADP NOUN NOUN PRON ADV VERB VERB VERB;You wake up late for school man you don't wa nna go;0 1 0 1 0 1 1 0 1 1 0 1
1 1 1 1 1 1 1 1 1 1;PRON VERB PRON NOUN INTJ CCONJ PRON ADV VERB INTJ;You ask you mom Please but she still says No;0 1 0 1 1 1 0 1 1 1
1 1 1 1 0 1 1 1 1;PRON VERB NUM NOUN NOUN CCONJ DET NOUN NOUN;You missed two cla sses and no home work;0 1 1 1 0 1 1 1 1
1 1 1 0 1 0 1 1 1 1 1 1 1;CCONJ ADJ NOUN NOUN NOUN NOUN VERB ADP PRON DET NOUN ADP NOUN;But your tea cher prea chers class like you're some kind of jerk;1 0 1 0 1 0 1 1 0 1 1 0 1
1 1 1 1 1 0 1 1 1 1 1;ADJ NOUN VERB PRON ADJ ADJ CCONJ PRON VERB DET NOUN;Your pop caught you smo kin' and he said No way;1 1 1 0 1 0 1 0 1 1 1
1 1 0 1 1 1 1 1 1;DET NOUN NOUN NOUN VERB NUM NOUN DET NOUN;That hyp o crite smokes two packs a day;1 1 0 1 1 1 1 0 1
1 1 0 1 1 1 1 1 1;NOUN VERB VERB ADP NOUN VERB ADJ DET NOUN;Man li vin' at home is such a drag;1 1 0 1 1 1 1 1 1
1 1 1 1 0 1 1 1 1 0 1;ADV ADJ NOUN VERB ADV ADV ADJ ADJ NOUN NOUN NOUN;Now your mom threw a way your best por no mag;1 0 1 1 0 1 0 1 1 0 1
1 1 1 1 1 1 1 1 1 1 1 1 0 1;ADV VERB ADP ADP DET NOUN ADP INTJ DET NOUN PRON DET DET NOUN;Don't step out of this house if that's the clothes you're go nna wear;1 0 1 0 1 1 0 1 0 1 0 1 0 1
1 1 1 1 1 1 1 1 1 1 1 1 1;PROPN VERB PRON ADP ADP ADJ NOUN ADP PRON ADV VERB DET NOUN;I'll kick you out of my home if you don't cut that hair;0 1 0 1 0 1 1 0 1 0 1 1 1
1 1 1 0 1 1 1 1 1 1;ADJ NOUN VERB VERB ADP CCONJ VERB NOUN DET NOUN;Your mom bus ted in and said What's that noise;0 1 1 0 1 0 1 1 1 1
1 1 1 1 1 0 1 1 1 0 1;INTJ NOUN PRON ADV ADJ ADJ ADJ DET PROPN PROPN NOUN;Aw mom you're just jea lous it's the Bea stie Boys;1 1 0 1 1 0 1 0 1 1 1
1 1 0 1 1 0 1 1;NOUN VERB VERB ADV ADP ADP ADJ NOUN;sweat ru nnin' all o ver my chest;1 1 0 1 1 0 1 1
1 1 1 1;PRON ADV VERB INTJ;I don't quit no;0 1 1 1
1 1 1 1 0;PRON ADV VERB ADV ADV;I just press har der;0 1 1 1 0
1 1 1 0 1 0 1 1 0 1;ADP PRON ADV ADV VERB ADP ADP VERB VERB ADP;than I e ver did be fore go in' for;1 0 1 0 1 0 1 1 0 1
1 1 1 1 1 1 1;DET NOUN ADJ PRON VERB ADP NOUN;the dreams that I have in store;0 1 1 0 1 1 1
1 1 1 1 1 1;ADP ADJ NOUN CCONJ PRON VERB;in my mind and I know;0 1 1 1 0 1
1 1 1 0 1 1 1 0;ADP PRON VERB VERB PRON PRON VERB VERB;that I'm ma kin' it I go tta;0 1 1 0 1 0 1 0
1 1 1 1 1 1 1 0 1 0 1;VERB PRON CCONJ ADV ADV ADV VERB VERB PRON ADV ADV;get mine and no bo dy's ta kin' it a way;1 1 0 1 1 0 1 0 1 0 1
1 1 0 1 1 1;ADP NOUN NOUN ADV VERB ADP;'cause ha mmer don't play that;0 1 0 1 1 1
1 1 1 1 1;PRON VERB PART VERB PRON;you try to get mine;0 1 0 1 1
1 1 1 0 1 1 1 1;INTJ PRON ADJ ADJ VERB ADV NOUN ADP;boy you be tter step back freeze 'cause;1 0 1 0 1 1 1 0
1 1 1 1 1 1 0;PRON ADV VERB NOUN PRON VERB VERB;you don't want none I hu stle;1 0 1 1 0 1 0
1 1 1 0 1 1 1;ADP ADJ NOUN NOUN CCONJ PRON VERB;for my mu scle and you look;1 0 1 0 0 1 0
1 1 1;ADJ NOUN NOUN;weak son yea;1 1 1
1 1 0 1 1 1 1 1 1;PRON VERB VERB ADP DET ADJ PRON VERB VERB;I'm go in' for all that I can get;0 1 0 0 1 0 1 0 1
1 0 1 1 1 0 1 1 1 1 1 1 1 1;VERB VERB ADP DET NOUN ADP ADP PRON ADV VERB VERB PART VERB NOUN;ki ckin' at the top be cause I'm too le git to quit sing;1 0 1 0 1 0 1 0 1 0 1 0 1 1
1 1 1 1 1;ADV PRON VERB ADJ NOUN;when I feel high post;1 0 1 1 1
1 1 1 1 1 1 1 1 1;ADV PRON VERB PRON ADV DET NOUN PRON ADV;don't you play me close a dig 'em smack;1 0 1 0 1 0 1 0 1
1 1 1 1 1 1;DET VERB PRON ADV CCONJ X;a get you back and i'll;0 1 0 1 0 1
1 1 1 1 1 1 1 1 1 0;VERB PRON ADP DET NOUN ADP NOUN NOUN NOUN NOUN;hit you with a dose of oak town pow er;1 0 1 0 1 0 1 1 1 0
1 1 1 1 1 1 0;CCONJ VERB PRON ADP DET NOUN NOUN;and charge you by the ho ur;0 1 0 1 0 1 0
1 1 0 1 1 1 1 1;PRON VERB VERB ADP DET NOUN CCONJ NOUN;I'm sha kin' like a quake and punks;0 1 0 1 0 1 0 1
1 0 1 0 1 1 1 0 1 1 1 1 0 1;VERB VERB VERB VERB PRON VERB PART VERB VERB NOUN NOUN CCONJ NOUN NOUN;get de vou red I choose to a buse mis use and con fuse;1 0 1 0 1 1 1 0 1 0 1 0 1 1
0 1 0 0 1 1;NOUN NOUN NOUN NOUN NOUN VERB;com pe ti tors who think;1 1 0 1 0 1
1 1 0 1 1 1 1 1;DET NOUN NOUN ADP ADJ DET NOUN NOUN;they're ma kin' up all the rules fools;1 1 0 0 1 0 1 1
1 1 1 1 1 1 1;ADP DET NOUN NOUN CCONJ ADJ ADJ;in the game lame and in sane;1 0 1 1 0 1 1
1 1 1 1 1 0 1 1 1;ADJ DET NOUN PRON VERB VERB VERB DET CCONJ;it's a shame I go tta do this but;1 0 1 0 1 0 1 0 1
1 0 1 1 1 0 1;PRON VERB VERB DET ADJ ADJ ADJ;I re main the same un changed;1 0 1 0 1 1 1
1 0 1 0 1 0 1;ADJ ADJ ADV ADV ADV ADV VERB;ge ttin' be tter ne ver known;1 0 1 0 1 0 1
1 1 1 0 1 0 1 1 1;ADP DET NOUN NOUN VERB VERB PRON ADP DET;as a swea ter ki ckin' it at the;1 0 1 0 1 0 0 1 0
1 0 1 1 1 1 1 0 1 0;NOUN ADP ADP PRON VERB PRON PRON ADV ADV ADV;top be cause I got my self to ge ther;1 0 1 0 1 0 1 0 1 0
1 1 1 1 1 1;ADV VERB ADP DET NOUN PUNCT;so roll with a guy who's;0 1 1 0 1 0
1 0 0 1 1 1 1 1;ADJ ADJ ADJ CCONJ ADJ VERB DET NOUN;phy si cal and fit knows the time;1 0 1 0 1 1 0 1
1 1 1 1 1 1 1;CCONJ ADV VERB VERB PART VERB VERB;and too le git to quit sang;0 1 0 1 0 1 1
1 1 1 1 0 1 1;NOUN ADP DET NOUN NOUN ADP DET;step to the rhy thm of a;1 1 0 1 0 1 0
1 1 1 0 1 1;ADJ ADJ NOUN NOUN PRON VERB;sho nuff wi nner I been;1 1 1 0 1 0
1 0 1 1 1 1 1;ADV ADP ADP PRON PRON VERB INTJ;here be fore yo I ain't no;1 0 1 1 0 1 1
0 1 0 1 1 1 1;NOUN NOUN NOUN CCONJ PRON VERB ADJ;be gi nner but I been new;0 1 0 0 1 0 1
1 1 1 0 1 0 1 1 1 0;VERB CCONJ ADJ NOUN NOUN NOUN ADP DET ADJ ADJ;tried and true sur vi val of the fi ttest;1 0 1 0 1 0 1 0 1 0
1 1 1 1 1;INTJ PRON VERB PRON PART;yo it brought me through;1 0 1 0 1
1 1 1 1 0 1;ADJ NOUN VERB ADJ ADJ PART;my crew we're rea dy to;1 1 1 1 0 0
1 1 1 1 1 0;NOUN VERB ADP DET NOUN NOUN;strike trained for the mi ssion;1 1 1 0 1 0
1 0 1 1 1 1 1 1;ADV VERB VERB DET NOUN CCONJ VERB PRON;so be lieve the hype and sweat it;1 0 1 0 1 1 1 0
1 1 1 0;ADP PRON DET DET;'cause you're go nna;1 0 1 0
0 1 1 1 1 1 1 1 1;VERB VERB PRON DET NOUN ADJ PRON VERB PRON;re gret it the day that you dissed us;0 1 0 0 1 1 0 1 0
1 1 1 1 0 1 1;PRON VERB PRON ADV ADV VERB PRON;you'll wish you ne ver met us;0 1 0 1 0 1 0
1 0 1 1 1 1 1 1;PRON VERB VERB PRON ADP DET ADJ ADJ;you re mind me of a real short;1 0 1 0 1 0 1 1
1 0 1 1 0 1 1 1;NOUN NOUN NUM NOUN NOUN NOUN CCONJ PRON;stor y one hit re cord and you;1 0 1 1 1 0 1 0
